Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PrimaryTemp,BPOM
Maple-Fest Oatmeal Stout,Oatmeal Stout,114,4.16,1.058,1.018,5.37,41.54,31.04,2.84,60,1.0859999999999999,50.0,2.0342862385321103,Specific Gravity,All Grain,2.0342862385321103,5
Crackin Mild,Dark Mild,53,20.82,1.038,1.013,3.2,23.27,24.05,26.5,60,1.03,75.0,1.5,Specific Gravity,All Grain,1.5,5
10. Fanta 012 (X minus one) 130615,American Pale Ale,10,26.0,1.046,1.013,4.34,37.66,4.3,28.5,60,1.042,65.0,2.8,Specific Gravity,All Grain,2.8,2
Turning Point APA,American IPA,7,20.82,1.055,1.015,5.19,58.41,3.73,28.39,60,1.04,70.0,1.5,Specific Gravity,All Grain,1.5,2
The Old Cookie,Altbier,1,19.87,1.053,1.0170000000000001,4.8,15.98,5.16,11.36,60,1.093,35.0,2.080822222222223,Specific Gravity,extract,2.080822222222223,2
Amber Otter,American Amber Ale,4,117.35,1.058,1.014,5.81,35.01,14.45,124.92,60,1.054,75.0,1.5,Specific Gravity,All Grain,1.5,2
Prima Pilsner,German Pils,80,23.0,1.052,1.008,5.67,33.54,3.93,30.0,90,1.04,72.0,3.7,Specific Gravity,All Grain,3.7,2
ESB,Extra Special/Strong Bitter (ESB),68,21.0,1.063,1.018,5.94,49.97,8.4,36.0,90,1.037,65.0,2.1674527777777786,Specific Gravity,BIAB,2.1674527777777786,2
Coconut Porter,Brown Porter,37,23.0,1.054,1.014,5.33,17.48,33.85,11.4,60,1.109,35.0,2.1009784482758618,Specific Gravity,extract,2.1009784482758618,5
3 Grain APA,American Pale Ale,10,22.71,1.055,1.014,5.35,40.92,9.95,26.5,60,1.047,70.0,1.5,Specific Gravity,All Grain,1.5,2
Double A's Easy 10G,Experimental Beer,67,37.85,1.052,1.014,5.01,44.32,3.59,45.42,60,1.043,70.0,1.5,Specific Gravity,All Grain,1.5,2
